,epp,ecr,enf,efa,sd,efdd,adle,gue,ni,new,
germany,28,,,19,16,11,10,7,3,2
france,12,,22,7,4,,21,8,,
italy,8,4,26,,17,18,,,,
england,,8,,1,14,28,9,,,
scotland,,1,,3,1,1,,,,
wales,,,,1,1,2,,,,
nireland,,,,,1,,,1,1,
spain,11,,,3,18,,10,6,,6
poland,16,21,,,4,,,,,10
romania,11,,,,10,,6,,,5
netherlands,3,2,,3,3,,7,2,,6
czech,4,4,1,,2,,5,1,,4
greece,10,,,,2,,,7,2,
hungary,12,,,1,4,,1,,3,
portugal,9,,,,8,,,4,,
sweden,5,4,,2,5,,2,2,,
austria,6,,5,1,5,,1,,,
bulgaria,5,1,,,5,,2,,2,2
denmark,,2,,1,5,,4,1,,
finland,3,2,,2,2,,3,1,,
slovakia,2,2,1,,3,1,,,2,2
belgium-g,1,,,,,,,,,
belgium-d,2,4,,2,1,,1,,,2
belgium-f,1,,,2,3,,2,,,
croatia,5,,,,3,,1,,,2
ireland,3,,,1,1,,3,2,,1
lithuania,3,1,,3,1,,2,,,1
latvia,1,1,,1,2,,,,,3
slovenia,3,,,,2,,2,,,1
cyprus,2,,,,1,,,2,,1
estonia,,,,,1,,4,,,1
luxembourg,3,,,1,1,,1,,,
malta,2,,,,4,,,,,